"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
148.684204101562,-19.4428100585938,0.32,2.49,3.86,161.57,75.58,477.41,5.4,4.14,7.99
138.210525512695,-35.4707260131836,0.32,2.17,3.26,9.2,6.95,13.42,3.54,2.99,4.44
144.842086791992,-38.3313064575195,0.32,1.5,3.24,43.37,25.1,93.72,5,3.95,6.95
114.157897949219,-21.8066101074219,0.32,1.9,3.41,5847.5,1556.33,39298.32,3.81,3.07,5.25
142.526321411133,-9.62476348876953,0.32,2.48,3.09,176.11,82.78,511.6,23.6,15.52,41.77
128.789474487305,-14.766752243042,0.32,4.28,5.53,17561.45,3635.63,179394.03,5.59,4.29,8.18
116.736839294434,-35.041072845459,0.32,1.59,4.26,28.61,18.86,49.78,2.81,2.47,3.35
140.210525512695,-15.3765287399292,0.32,3.2,4.75,30.85,17.95,68.08,3.25,2.74,4.14
139.157897949219,-16.7419166564941,0.32,3.32,4.36,13.97,9.27,25.33,4.04,3.27,5.5
142.157897949219,-10.2468156814575,0.32,2.59,3.11,44.48,25.2,100.05,9.41,6.79,14.89
116.947364807129,-20.6785373687744,0.32,4.11,5.47,43.58,24.37,100.95,2.94,2.47,3.81
145.947357177734,-16.7419147491455,0.32,2.2,2.94,1189.71,434.73,4857.04,38,21.88,83.9
115.684211730957,-32.2379684448242,0.32,1.52,4.67,40.46,24.88,78.25,2.19,1.98,2.52
148.473678588867,-17.7470703125,0.32,2.49,4.41,1038.46,394.92,3965.1,3.43,2.8,4.63
135.684204101562,-11.8994636535645,0.32,2.41,3.45,325.68,137.59,1110.94,6.6,4.99,9.81
126.842102050781,-10.1432237625122,0.32,4.17,4.93,13874.42,3755.4,83948.84,40.05,23.88,82.16
142.105255126953,-10.9709968566895,0.32,2.58,4.34,27.31,16.79,54.44,2.92,2.5,3.63
115,-34.2619590759277,0.32,1.67,4.67,24.4,16.45,41.19,2.62,2.32,3.1
143.052627563477,-10.0914154052734,0.32,2.36,3.09,5089.53,1478.18,29016.84,59.8,33.25,136.18
119.789474487305,-19.9382705688477,0.32,4.03,5.13,110.47,58.59,263.2,3.95,3.16,5.5
122.210525512695,-17.0943374633789,0.32,5.51,6.56,102.17,53.66,249.37,4.41,3.46,6.34
146.631576538086,-18.2475681304932,0.32,2.52,3.7,782.62,288.86,3245.07,8.82,6.18,14.91
137.57893371582,-33.2998161315918,0.32,3.15,4.22,6.38,4.99,8.9,3.34,2.82,4.21
