"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Wyndham-East Kimberley",128.789474487305,-14.766752243042,0.09,4.05,5.3,15.62,10.03,30.04,1.62,1.51,1.81
"WASouth","Manjimup",116.736839294434,-35.041072845459,0.09,1.36,4.03,2.57,2.28,3,1.34,1.29,1.4
NA,"Mornington",140.210525512695,-15.3765287399292,0.09,2.97,4.52,2.62,2.25,3.28,1.39,1.33,1.49
"QLDNorth","Mornington",139.157897949219,-16.7419166564941,0.09,3.09,4.13,2.1,1.87,2.48,1.48,1.4,1.62
"QLDNorth","Torres",142.157897949219,-10.2468156814575,0.09,2.36,2.88,2.91,2.48,3.65,1.88,1.71,2.14
"WANorth","Karratha",116.947364807129,-20.6785373687744,0.09,3.88,5.24,2.89,2.45,3.66,1.35,1.29,1.46
"QLDNorth","Cairns",145.947357177734,-16.7419147491455,0.09,1.97,2.71,7.33,5.52,10.88,2.78,2.38,3.48
"WASouth","Rockingham",115.684211730957,-32.2379684448242,0.09,1.29,4.44,2.83,2.47,3.41,1.25,1.21,1.3
NA,"Burdekin",148.473678588867,-17.7470703125,0.09,2.26,4.18,7.05,5.37,10.28,1.41,1.34,1.54
"NT","East Arnhem",135.684204101562,-11.8994636535645,0.09,2.18,3.22,5.09,3.99,7.19,1.7,1.57,1.9
NA,"Tiwi Islands",126.842102050781,-10.1432237625122,0.09,3.94,4.7,14.62,10.12,24.26,2.82,2.44,3.46
"QLDNorth","Northern Peninsula Area",142.105255126953,-10.9709968566895,0.09,2.35,4.11,2.53,2.21,3.08,1.35,1.29,1.44
"WASouth","Augusta Margaret River",115,-34.2619590759277,0.09,1.44,4.44,2.46,2.2,2.85,1.31,1.27,1.37
"QLDNorth","Torres Strait Island",143.052627563477,-10.0914154052734,0.09,2.13,2.86,11.03,7.79,17.99,3.16,2.68,3.98
"WANorth","East Pilbara",119.789474487305,-19.9382705688477,0.09,3.8,4.9,3.76,3.14,4.79,1.47,1.38,1.61
"WANorth","Broome",122.210525512695,-17.0943374633789,0.09,5.28,6.33,3.67,3.07,4.72,1.52,1.42,1.68
