"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Wattle Range",139.894729614258,-37.375789642334,0.999547854638196,1.0468300332765,1.09545479663865,3.23240789020013,3.36822908207578,3.50790693755359
"SA","Wattle Range",139.894729614258,-37.3339653015137,1.00590003646788,1.05519271809751,1.10588507299217,3.06797220769932,3.19068671555273,3.31688572070261
"SA","Robe",139.842102050781,-37.292106628418,1.00683102066402,1.05641836427931,1.10741374813197,3.06831497035972,3.19186472304958,3.31892268994131
"SA","Robe",139.842086791992,-37.250244140625,1.01146248616759,1.06251571591441,1.11501860996044,3.20383614991829,3.33617340396433,3.4722683946628
"SA","Robe",139.789474487305,-37.2083511352539,1.00909734813591,1.05940199775466,1.11113505562492,3.20036304797604,3.33169541338769,3.46675698148468
"SA","Robe",139.736831665039,-37.166431427002,1.3444566668854,1.39540745909368,1.44780500687153,3.49313855966541,3.630839213838,3.77244989923331
"SA","Robe",139.736831665039,-37.1244926452637,1.353132239302,1.40682890131733,1.4620502882971,3.49986570325458,3.63966804899094,3.78344010380475
"SA","Robe",139.736846923828,-37.0825271606445,1.35997411592615,1.41583627222171,1.47328464302436,3.5055166191118,3.64676003007852,3.79201406939121
"SA","Robe",139.684204101562,-37.0405387878418,1.36986628594648,1.42885937236177,1.48952757652572,3.51483224427688,3.66003971184336,3.80937036775174
"SA","Kingston (SA)",139.684204101562,-36.9985275268555,1.38731281446678,1.45182782999535,1.5181747592978,3.53040052830046,3.68021823741678,3.83429004339183
"SA","Kingston (SA)",139.684204101562,-36.914436340332,1.40476773100576,1.47480733050497,1.54683571518836,3.33996081896692,3.49107553998048,3.64648118670479
"SA","Kingston (SA)",139.736831665039,-36.8723564147949,1.41582735659663,1.48936739278509,1.56499560959509,3.34149134755012,3.49375005541028,3.65033217266338
"SA","Kingston (SA)",139.789474487305,-36.8723564147949,1.42318174000123,1.49904948188683,1.57707149995472,3.34446491204484,3.49758816215556,3.6550593704692
"SA","Kingston (SA)",139.842086791992,-36.8723564147949,1.43161790304193,1.51015574025594,1.59092367141915,3.3500131341359,3.50422106305299,3.66280774979429
"SA","Kingston (SA)",139.842086791992,-36.8302536010742,1.43207168939531,1.51075315266496,1.59166878816771,3.218856150147,3.36857437927473,3.52254388051165
"SA","Kingston (SA)",139.842086791992,-36.7881240844727,1.43209951784489,1.51078978898286,1.59171448245471,3.22058756152877,3.37072613409772,3.52512791449242
"SA","Kingston (SA)",139.842086791992,-36.7459754943848,1.43222044607489,1.51094899171045,1.59191304649013,3.22219129741312,3.37287598944923,3.52783939645723
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SA","Kingston (SA)",139.842102050781,-36.7037887573242,1.43398039001891,1.51326596828655,1.59480287272544,3.22469141441286,3.37612760282377,3.53186384506153
"SA","Kingston (SA)",139.842102050781,-36.6616058349609,1.43649328452476,1.51657420871548,1.59892904304708,3.26267940145144,3.41823730061646,3.57821229021819
"SA","Kingston (SA)",139.789474487305,-36.619384765625,1.43784916131424,1.51835922850089,1.6011553914097,3.27314449790565,3.43058491790824,3.59249588281584
"SA","Kingston (SA)",139.789474487305,-36.5771408081055,1.44308958028661,1.52525827096707,1.60976015423853,3.27822136100756,3.43677360541446,3.59982796515107
"SA","Kingston (SA)",139.789474487305,-36.5348777770996,1.4467366002913,1.5300595943002,1.61574855752039,3.27523497259419,3.43532460779415,3.5999600127715
"SA","Kingston (SA)",139.789474487305,-36.4925880432129,1.45012658794553,1.5345225330289,1.62131491393409,3.27746921739492,3.43803675209474,3.60316362660164
"SA","Kingston (SA)",139.789474487305,-36.4502754211426,1.45255129444059,1.53771467342181,1.62529627962823,3.27939589002492,3.44056105241761,3.60630252434752
