NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
WASouth,WA,Gingin,Gingin,115.3684082,-31.25356674,0.06,1.01,3.25,2.45,2.18,2.86,1.25,1.21,1.31
NSW,NSW,Kempsey,Kempsey,153,-31.25356674,0.06,1.24,2.37,6.57,4.95,9.84,1.35,1.29,1.44
WASouth,WA,Gingin,Gingin,115.3684235,-31.20856094,0.06,1.01,3.25,2.48,2.2,2.91,1.25,1.21,1.31
NSW,NSW,Kempsey,Kempsey,153,-31.20857239,0.06,1.24,2.26,6.54,4.93,9.79,1.37,1.31,1.46
WASouth,WA,Gingin,Gingin,115.3684235,-31.16355705,0.06,1.01,3.18,2.51,2.22,2.94,1.24,1.21,1.29
NSW,NSW,Kempsey,Kempsey,153,-31.16355705,0.06,1.24,2.26,6.48,4.89,9.66,1.37,1.31,1.46
WASouth,WA,Gingin,Gingin,115.315773,-31.11852074,0.06,1.01,3.17,2.59,2.29,3.07,1.25,1.21,1.3
NSW,NSW,Kempsey,Kempsey,153.0526276,-31.11852074,0.06,1.24,2.57,6.89,5.16,10.42,1.3,1.26,1.38
WASouth,WA,Gingin,Gingin,115.315773,-31.07346344,0.06,1.01,3.17,2.6,2.3,3.09,1.24,1.21,1.3
NSW,NSW,Kempsey,Kempsey,153.0526276,-31.07346344,0.06,1.24,2.44,6.88,5.16,10.39,1.33,1.28,1.42
WASouth,WA,Gingin,Gingin,115.3157883,-31.02838326,0.06,1.01,3.16,2.61,2.3,3.1,1.24,1.2,1.29
NSW,NSW,Kempsey,Kempsey,153.0526276,-31.02838326,0.06,1.24,2.31,6.84,5.13,10.3,1.36,1.3,1.45
WASouth,WA,Gingin,Gingin,115.2631607,-30.98328209,0.06,1,3.15,2.68,2.35,3.2,1.24,1.21,1.29
NSW,NSW,Kempsey,Kempsey,153.0526276,-30.98328209,0.06,1.24,2.31,6.75,5.08,10.12,1.36,1.3,1.45
WASouth,WA,Gingin,Gingin,115.2631607,-30.93816185,0.06,1,3.08,2.68,2.35,3.2,1.25,1.22,1.31
NSW,NSW,Kempsey,Kempsey,153.1052704,-30.93815994,0.06,1.24,2.63,7.26,5.4,11.05,1.29,1.25,1.37
WASouth,WA,Dandaragan,Dandaragan,115.2105103,-30.89301682,0.06,1,3.07,2.74,2.4,3.28,1.26,1.22,1.31
NSW,NSW,Kempsey,Kempsey,153.1052704,-30.89301682,0.06,1.24,2.63,7.26,5.41,11.05,1.29,1.25,1.37
WASouth,WA,Dandaragan,Dandaragan,115.1578979,-30.84785271,0.06,1,3.15,2.75,2.41,3.3,1.25,1.21,1.3
NSW,NSW,Kempsey,Kempsey,153.0526276,-30.84785271,0.06,1.39,2.46,6.98,5.24,10.49,1.33,1.27,1.42
